treecanopy,health,bad_health,mental_health,employment,income,seniors,ethnicity,education,Green_Percentage,air_pollution
0.108141356,0.022239825,0.01903467,-1.161850719,0.003111653,0.000396474,0.250169492,0.20624152,0.832225,15.5920522,0.882636279
0.041180629,0.095570314,0.022447502,-1.186593541,0.05042709,0.089694715,0.200290276,0.222222222,0.835385,8.570342817,0.882636279
0.126760509,0.464111626,0.030415891,-0.863323298,0.539932886,0.436091372,0.179233622,0.261166253,0.700997,16.5588812,0.870082658
0.042197725,0.454758713,0.072595281,-1.148610587,0.76128737,0.816218854,0.093235832,0.61852861,0.403967,6.537860862,0.890412147
0.088653627,0.342858884,0.032520325,-1.064453705,0.339322758,0.572661563,0.085451595,0.67804878,0.349195,17.73888381,0.640963187
0.088743134,0.500213259,0.033676976,-1.18412411,0.650061013,0.80914331,0.024112987,0.735375086,0.484947,18.55805984,0.656988355
0.184498107,0.624512552,0.043913285,-1.027819535,0.803996339,0.896886151,0.035694367,0.75,0.319522,39.78097633,0.6726443
0.093943061,0.705855472,0.049307479,-0.811539665,0.660890787,0.771203757,0.089097952,0.699722992,0.335932,12.25901253,0.650782716
0.271283393,0.446502559,0.043376319,-0.871157159,0.50933496,0.724694257,0.077283372,0.724765258,0.3217,17.2156139,0.650782716
0.14520251,0.485803071,0.035744681,-1.140128969,0.597864552,0.860684986,0.04088586,0.731686542,0.39136,25.28954675,0.66324774
0.093861248,0.781623203,0.06039551,-0.735441882,0.786272117,0.81814023,0.090037294,0.414660246,0.276626,18.81878001,0.557100894
0.070130251,0.66594565,0.045194508,0.0580213,0.758297743,0.798011528,0.092930445,0.394285714,0.290053,59.56981569,0.553402094
0.128080353,0.524220083,0.040082645,-0.418609971,0.717510677,0.824575315,0.069392813,0.441553077,0.320646,35.64566472,0.556408927
0.068611638,0.674932976,0.047541869,0.417093781,0.71171446,0.795449693,0.089237426,0.427105832,0.311874,18.60376405,0.548440306
0.118140113,0.788386546,0.066589461,0.033365828,0.847162904,0.877062429,0.096755504,0.487804878,0.297401,19.08331623,0.553594766
0.0989571,0.63450524,0.058558559,-0.151562046,0.761317877,0.817164293,0.082630691,0.381756757,0.311669,20.52316994,0.548440306
