MHI_2022,LSOA22
-0.337801482,E01000274
-0.15275863,E01000275
-0.784599954,E01000276
-0.536775736,E01000277
-0.723415506,E01000278
-0.674347045,E01000279
-0.794785665,E01000280
-0.537210043,E01000281
-0.677145213,E01000282
-0.657620611,E01000283
-0.138116623,E01000284
0.06822216,E01000285
0.100130243,E01000286
0.147396779,E01000287
-0.38443087,E01000288
-0.297045638,E01000289
0.008142456,E01000290
-0.100967969,E01000291
-0.104203871,E01000292
-0.458959164,E01000293
0.390195617,E01000294
-0.634654077,E01000295
-0.789575186,E01000296
-0.534152813,E01000297
-0.762737073,E01000298
-0.454917893,E01000299
-0.577604693,E01000300
-0.611003882,E01000301
-0.373152971,E01000302
-0.644256411,E01000303
-0.685521864,E01000304
-0.32969707,E01000305
-0.618152648,E01000306
-0.152246537,E01000307
-0.71425461,E01000308
-0.623858633,E01000309
-0.030450325,E01000310
-0.665990726,E01000311
0.505504649,E01000312
-0.750505845,E01000313
-0.328517855,E01000314
0.20818838,E01000315
-0.538272955,E01000316
-0.557520662,E01000317
-0.471496545,E01000318
-0.651742004,E01000319
-0.134911727,E01000320
-0.202156455,E01000321
0.14059358,E01000322
0.071244939,E01000323
-0.334487148,E01000324
-0.114558496,E01000325
0.278745723,E01000326
-0.076627823,E01000327
0.924796836,E01000328
0.23983011,E01000329
0.542908151,E01000330
0.292859169,E01000331
0.209532433,E01000332
0.558151896,E01000333
0.08691823,E01000334
-0.334052911,E01000335
0.185617897,E01000336
-0.075153776,E01000337
-0.206200536,E01000338
-0.205429385,E01000339
-0.353508583,E01000340
-0.337597118,E01000341
-0.559771325,E01000342
0.088283314,E01000343
-0.218437467,E01000344
-0.289340226,E01000345
-0.091625456,E01000346
-0.117373255,E01000347
-0.518868953,E01000348
-0.223957956,E01000349
-0.27605579,E01000350
-0.036443665,E01000351
-0.273451868,E01000352
-0.044204376,E01000353
0.378781168,E01000354
0.149606588,E01000355
0.558399865,E01000356
-0.160449855,E01000357
-0.014279539,E01000358
-0.409246586,E01000359
0.776342096,E01000360
0.008418843,E01000361
0.84958487,E01000362
0.183014531,E01000363
0.016876552,E01000364
1.564153734,E01000365
-0.018847969,E01000366
0.622085238,E01000367
0.417296037,E01000368
-0.010434581,E01000369
0.246734586,E01000370
-0.203195517,E01000371
0.640182746,E01000372
-0.134574635,E01000373
0.278043204,E01000374
0.242689143,E01000375
0.43540987,E01000376
0.35211919,E01000377
0.395361431,E01033791
0.465434104,E01000379
0.60601836,E01000380
0.271544847,E01000381
-0.199888743,E01000382
0.119454543,E01000383
0.220441154,E01000384
0.363968902,E01000385
2.114954188,E01000386
-0.251235155,E01000387
-0.058830383,E01000388
0.032409979,E01000389
0.386166113,E01000390
-0.423422666,E01000391
-0.072217106,E01000392
-0.143167204,E01000393
0.714450902,E01000394
-0.91654039,E01000395
-0.637012805,E01000396
-0.144054241,E01000398
-0.27618856,E01000399
-0.790335088,E01000400
0.784368162,E01000401
0.308557555,E01000402
0.747526118,E01000403
0.187031736,E01000404
0.070414568,E01000405
0.504689457,E01000406
0.496613972,E01000407
0.204398466,E01000408
-0.76114212,E01000409
-0.425310687,E01000410
-0.440768559,E01000411
-0.255040306,E01000412
-0.650185826,E01000413
-0.118806536,E01000414
-0.478356716,E01000415
0.376435335,E01000416
0.271113616,E01000417
-0.340152819,E01000418
0.236502662,E01000419
0.191554145,E01000420
0.179139421,E01000421
-0.697243196,E01000422
-0.830579567,E01000423
1.221075854,E01000424
1.274228255,E01000425
-0.193221787,E01000426
0.146509873,E01000427
2.310705875,E01000428
0.467230702,E01000429
-0.30150651,E01000430
0.277145295,E01000431
-0.01343148,E01033789
0.456101883,E01000433
0.369085567,E01000434
0.234120354,E01000435
-0.330936348,E01000436
-0.39349546,E01000437
0.017649705,E01000438
0.087487074,E01000439
-0.165095595,E01000440
0.553061156,E01000441
0.005898726,E01000442
0.282977161,E01000443
-0.256371412,E01000444
-0.284328406,E01000445
-0.303388433,E01000446
-0.025715,E01000447
-0.078652815,E01000448
0.167841726,E01000449
-0.244312839,E01000450
-0.336003184,E01000451
-0.454965871,E01000452
-0.491755712,E01000453
0.017406514,E01000454
-0.722777929,E01000455
-0.167254183,E01000456
0.215772436,E01000457
0.181590341,E01000458
0.401325769,E01000459
-0.328106791,E01000460
-0.205048179,E01000461
1.387679383,E01000462
-0.312678115,E01000463
-0.014874689,E01000464
0.145425879,E01000465
-0.404167486,E01000466
0.091024013,E01000467
-0.28715732,E01000468
-0.161487673,E01000469
-0.030643129,E01000470
-1.109384554,E01000471
-1.074181888,E01000472
-1.042956296,E01000473
-1.224697009,E01000474
-1.027510212,E01000475
-0.821619228,E01000476
-1.356490294,E01000477
-0.576016046,E01000478
0.103045444,E01000479
-0.462197042,E01000480
-0.103594829,E01000481
0.977471428,E01033931
-0.128719344,E01000483
-0.450255475,E01000484
0.929604509,E01000485
-0.800453719,E01000486
-0.582294304,E01000487
-0.500063065,E01000488
-0.060145824,E01000489
-0.075299592,E01000490
-0.422030056,E01000491
-0.614597893,E01000492
-0.549486387,E01000493
-0.143068827,E01000494
0.843572689,E01000495
-0.36621878,E01000497
-0.183948828,E01000498
-0.631364932,E01000499
0.052519803,E01000501
-0.482696484,E01000502
-0.183323896,E01000503
-0.246983904,E01000504
-0.762146082,E01000505
-0.589798252,E01000506
-0.823000081,E01000507
0.195601192,E01000508
1.060315709,E01000509
0.28819941,E01000510
-0.352723019,E01000511
-0.593370786,E01000512
-0.409967105,E01000513
-0.720945991,E01000514
-0.417842137,E01000515
-0.401899264,E01000516
-0.740412119,E01000517
-0.071984836,E01000518
-0.251394835,E01000519
0.068736195,E01000520
0.320987551,E01000521
-0.041259024,E01000522
-0.562698607,E01000523
0.058200582,E01000524
-0.098769224,E01000525
0.38319188,E01000526
0.10201252,E01000527
-0.080443652,E01000528
-0.642991168,E01000530
-0.013716257,E01000531
-0.371022274,E01000532
0.09124324,E01000533
0.262360475,E01000534
-0.679549794,E01000535
-0.700614532,E01000536
-0.735914785,E01000538
-0.394572215,E01000539
-0.870321125,E01000540
-0.675574718,E01000541
-0.563739113,E01000543
-0.123297584,E01000544
0.249405512,E01000545
0.081632357,E01000546
0.253239336,E01000547
0.005214126,E01000548
-0.464865338,E01000549
0.612800445,E01000550
0.211276079,E01000551
-0.166037154,E01000552
-0.439326033,E01000553
-0.44882084,E01000554
-0.166025286,E01000555
-0.433006453,E01000556
-0.399387581,E01000557
-0.444644541,E01000558
-0.539800187,E01000559
-0.38110413,E01000560
-0.254227723,E01000561
-1.199532593,E01000562
-0.970400512,E01000563
-1.417291468,E01000564
-0.457298693,E01000565
-0.848277671,E01000566
0.018999266,E01000567
-0.876580958,E01000568
-1.042564611,E01000569
-0.299777382,E01000570
0.48590567,E01000571
-0.554379645,E01000572
-0.783829849,E01000573
-1.053605998,E01000574
-1.289915985,E01000575
-0.316461113,E01000576
-0.327158659,E01000577
0.293174592,E01000578
-0.272208267,E01000579
-0.18586327,E01000580
-0.46749879,E01000581
-0.636513254,E01000582
-0.18040072,E01000583
-0.748281612,E01000584
-0.761842765,E01000585
-0.363872855,E01000586
0.123226263,E01000587
-0.42541119,E01033929
-0.551823545,E01000589
-0.118915642,E01000590
-0.786197716,E01000591
-0.389231788,E01000592
-0.904871182,E01000593
-0.983715184,E01000594
-0.135140777,E01000595
0.071428934,E01000596
0.55624698,E01000599
